Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred
4661,2013-06-14,PH,LD003,Head on collision,0,132,Minor Road,NORMAL,N,8,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,70.31343040000002,70.31343040000002
4411,2013-03-01,Other,LD003,Head on collision,0,151,Main Road,WET,N,15,Y,Y,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1297.9329792,1297.9329792
502,2005-06-11,Other,LD003,Head on collision,2,46,Minor Road,NORMAL,Y,22,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1657.2238448,1657.2238448
2433,2010-03-26,PH,LD003,Head on collision,0,262,Minor Road,WET,Y,13,Y,n/k,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31104.732862400004,31104.732862400004
6923,2015-01-23,Other,LD003,Head on collision,0,344,Main Road,"SNOW,ICE,FOG",N,6,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,156.4233824,156.4233824
2442,2010-03-31,PH,LD003,Head on collision,0,289,Home Address,WET,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1693.3405696000002,1693.3405696000002
1540,2008-02-04,PH,LD003,Head on collision,0,208,Minor Road,NORMAL,N,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
3657,2012-04-14,TP,LD003,Head on collision,6,156,Main Road,N/K,n/k,17,Other,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19522.4934048,19522.4934048
7684,2015-06-29,Other,LD003,Head on collision,0,41,Main Road,,Y,16,Y,#,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4517,2013-04-15,PH,LD003,Head on collision,1,97,Main Road,NORMAL,Y,19,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1856.9494784000003,1856.9494784000003
